"","OBJECTID","ID","ADDRESS","TERMINAL_NUMBER","LATITUDE","LONGITUDE","location","zipcode"
"244",158974388,266,"Frederick Ave & Horners Ln",32009,39.094772,-77.145213,"313 Frederick Ave, Rockville, MD 20850, USA","20850"
"245",158974389,267,"Philadelphia & Maple Ave",32010,38.98128,-77.011336,"101 Philadelphia Ave, Takoma Park, MD 20912, USA","20912"
"246",158974390,268,"Maple & Ritchie Ave",32011,38.983627,-77.006311,"7620 Maple Ave, Takoma Park, MD 20912, USA","20912"
"247",158974391,269,"Silver Spring Metro/Colesville Rd & Wayne Ave",32012,38.99521,-77.02918,"8500 Colesville Rd, Silver Spring, MD 20910, USA","20910"
"248",158974392,270,"Montgomery & East Ln",32013,38.983525,-77.095367,"4801-4817 Montgomery Ln, Bethesda, MD 20814, USA","20814"
"249",158974393,271,"Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir",32014,38.961763,-77.085998,"5365-5399 Wisconsin Ave NW, Bethesda, MD 20815, USA","20815"
"250",158974394,272,"14th & Belmont St NW",31119,38.921074,-77.031887,"2420 14th St NW, Washington, DC 20009, USA","20009"
"251",158974395,273,"3rd & Tingey St SE",31634,38.87501,-77.0024,"214-230 Tingey St SE, Washington, DC 20003, USA","20003"
"252",158974396,274,"10th & Florida Ave NW",31120,38.920387,-77.025672,"989 Florida Ave NW, Washington, DC 20001, USA","20001"
"253",158974397,275,"Potomac Ave & 8th St SE",31635,38.876737,-76.994468,"875-999 Potomac Ave SE, Washington, DC 20003, USA","20003"
"254",158974398,276,"Crabbs Branch Way & Redland Rd",32015,39.120045,-77.156985,"16141-16153 Crabbs Branch Way, Derwood, MD 20855, USA","20855"
"255",158974399,277,"Fallsgrove Dr & W Montgomery Ave",32016,39.099376,-77.188014,"717 Fallsgrove Dr, Rockville, MD 20850, USA","20850"
"256",158974400,278,"Monroe St & Monroe Pl",32017,39.083673,-77.149162,"95 Monroe St, Rockville, MD 20850, USA","20850"
"257",158974401,279,"Needwood Rd & Eagles Head Ct",32018,39.123513,-77.15741,"8133-8165 Needwood Rd, Derwood, MD 20855, USA","20855"
